    .64    1.001 5 611 2 1 & & 1 2 2 3 4 & 3 2 1 2 1 1 2 2 1 1 3 2 2 5 1 2 5 2 6 1 960 1 
    .00    2.001 2 292 & & 1 2 3 2 1 2 2 7 6 2 1 & & & 1 & 1 1 3 4 2 4 1 2 1 3 5 2 0 251 
    .62    3.001 1 9 1 2 2 & & 1 2 1 3 2 4 2 6 2 2 1 2 1 2 2 2 3 3 1 8 1 4 4 7 6 1 990 2 
   2.13    4.001 4 552 & & 2 1 3 2 1 1 6 & 4 4 2 2 2 2 & 1 2 2 3 4 3 7 1 4 4 2 3 2 0 152 
    .54    5.001 2 291 2 1 & & 1 3 1 1 2 7 4 4 2 1 1 1 2 & 2 2 2 4 1 6 1 4 4 7 6 1 750 2 
   1.86    6.001 1 9 1 1 1 & & 1 2 1 1 4 5 4 2 2 1 2 1 2 2 1 2 3 1 2 9 1 & 2 1 5 1 300 2 
   4.69    7.001 5 612 & & 1 1 3 1 2 3 0 2 3 0 1 & & & & 1 1 1 2 4 3 9 5 4 & 1 1 2 0 272 
   1.55    8.001 4 552 & & 1 1 3 1 1 2 2 8 6 6 1 2 1 2 2 1 1 1 3 4 3 5 1 & 6 3 6 2 0 881 
    .34    9.001 1 1 1 2 2 & & 1 1 2 2 3 & 1 0 & & & & 1 & 1 1 1 1 2 4 1 3 4 2 1 1 440 1 
   1.26   10.001 1 9 1 2 1 & & 1 2 1 1 2 & 4 4 1 & & & & & 2 1 2 3 & & 1 2 2 2 1 1 200 1 
   1.15   11.001 2 292 & & 1 1 3 2 1 3 10& & 8 1 2 1 2 2 2 1 1 2 4 2 7 1 2 6 1 6 2 0 781 
    .68   12.001 4 551 1 1 & & 1 2 2 3 5 & 2 1 2 1 1 1 & & 2 2 & 4 2 6 1 & 2 2 6 1 100 & 
   2.65   13.001 3 331 1 1 & & & 1 2 2 2 5 5 1 2 2 & 1 1 1 2 2 3 3 2 9 1 4 3 1 3 1 330 2 
    .34   14.001 1 1 1 2 1 & & 1 1 1 1 2 & 6 6 2 1 1 1 2 2 2 2 2 2 1 7 1 3 5 2 4 1 450 2 
    .75   15.001 5 571 2 2 & & 1 2 1 3 6 & 2 & & & & & & & & & & & & & & & & & & 1 110 & 
   2.25   16.001 5 611 1 2 & & 1 1 2 2 3 4 2 8 2 1 1 & 1 & 2 2 3 4 2 9 5 4 3 1 1 1 280 2 
    .48   17.001 4 551 2 1 & & 1 2 2 2 9 & 2 2 1 2 1 1 & & 2 2 3 4 1 4 1 4 6 7 6 1 710 1 
    .87   18.001 2 212 & & 1 1 3 2 1 1 3 & 6 4 1 2 2 2 1 2 2 1 2 4 2 6 1 2 4 2 6 2 0 591 
    .00   19.001 2 292 & & 1 2 3 2 2 3 6 & 6 0 1 2 & 2 2 1 1 2 3 4 3 7 1 4 2 1 4 2 0 352 
    .72   20.001 3 331 2 1 & & 1 2 1 2 4 5 5 2 2 1 1 1 1 & 2 2 1 4 1 5 6 4 4 7 5 1 100 2 
   3.56   21.001 2 171 2 2 & & 1 2 1 2 5 & 4 0 2 & 1 & & & 1 2 3 4 2 9 1 4 4 2 6 1 520 2 
   1.57   22.001 4 552 & & 1 & 3 2 1 1 9 & 6 4 1 1 1 1 & & 1 1 2 4 2 6 5 2 3 6 6 2 0 111 
    .77   23.001 5 611 2 1 & & 1 2 1 3 0 4 4 5 2 2 1 1 1 1 1 2 3 4 2 6 1 2 3 5 4 1 110 2 
    .45   25.001 5 654 & & & & 1 2 1 4 11& 7 111 2 1 1 & & 1 1 3 4 2 4 1 4 4 7 6 3 0 0 1 
    .51   26.001 5 573 & & & & 4 2 1 2 9 & 6 101 2 1 2 2 1 2 1 2 4 2 6 1 4 3 7 2 3 0 0 2 
    .00   27.001 2 292 & & 1 2 3 2 2 1 2 6 4 4 1 2 2 2 2 2 2 1 & 4 3 4 1 2 6 4 6 2 0 211 
    .28   28.001 1 131 1 1 & & 1 1 2 1 1 2 2 7 2 1 1 2 2 2 2 2 2 4 3 3 2 4 6 7 5 1 370 2 
    .83   29.001 3 331 1 1 & & 1 1 1 1 3 5 4 1 2 1 1 1 1 1 2 2 1 1 2 6 1 2 4 3 3 1 100 2 
    .81   30.001 3 371 2 1 & & 1 2 1 3 4 5 3 1 1 2 1 1 & & 1 2 3 1 2 7 1 2 6 6 6 1 120 2 
    .55   31.001 4 451 2 2 & & 1 1 2 & 0 3 2 3 & & 1 & & & 1 2 3 1 3 8 1 & 2 2 3 1 660 2 
   1.17   32.001 2 212 & & 1 1 3 1 1 3 3 6 6 2 1 2 2 1 2 1 1 1 1 4 2 8 1 4 6 1 6 2 0 651 
   1.32   33.001 5 611 2 2 & & 1 1 2 1 2 6 3 2 & & 1 & & & & 1 & 4 2 9 5 4 1 2 2 1 160 1 
    .55   34.001 4 551 & 1 & & 1 1 1 2 2 3 6 5 1 2 1 2 2 2 & 1 3 4 3 6 1 2 6 1 5 1 & 0 1 
   1.20   35.001 2 252 & & 1 3 3 2 1 3 2 3 6 4 1 2 2 1 2 & 2 1 3 4 2 5 1 2 4 1 6 2 0 871 
    .54   36.001 5 651 1 1 & & 1 1 2 3 4 & 1 2 2 1 1 1 & & & 2 1 4 1 5 1 2 6 1 5 1 680 2 
    .48   37.001 3 401 1 2 & & 1 1 2 1 4 & 6 2 2 1 2 1 1 2 2 2 3 2 2 8 2 2 6 4 5 1 600 2 
    .58   38.001 5 571 2 2 & & & 1 2 3 8 & 2 1 2 2 1 1 1 1 2 2 3 4 1 3 2 4 4 7 2 1 700 2 
   1.40   39.001 2 292 & & 1 1 3 1 1 1 2 3 6 4 1 2 2 2 2 1 1 1 1 4 3 7 1 4 6 1 5 2 0 781 
   1.08   40.001 3 372 2 2 & & 3 3 1 1 10& 4 6 1 2 2 2 1 2 2 1 2 4 3 4 1 2 4 1 6 2 0 0 1 
    .66   41.001 4 492 & & 1 1 3 2 2 3 1 2 1 3 1 2 1 & & & 2 1 3 4 3 6 1 2 4 1 6 2 0 451 
    .69   42.001 1 1 2 & & 1 & 3 2 1 1 4 & 1 4 1 & & & & & & 1 3 4 2 8 4 4 4 3 & 2 0 521 
   1.02   43.001 3 331 2 1 & & 1 1 2 3 10& 2 1 2 1 1 1 & & 2 2 1 4 1 3 1 4 4 7 3 1 120 2 
    .39   44.001 1 5 2 & & 1 1 3 2 1 3 6 & 6 2 1 2 2 1 2 1 1 1 3 4 2 5 1 4 6 2 6 2 0 281 
   1.24   45.001 2 171 2 2 & & 1 2 1 1 0 & 3 0 2 2 1 2 1 2 1 2 3 4 1 3 1 1 4 3 3 1 180 2 
    .79   46.001 1 132 & & 1 1 & 2 1 1 2 5 5 2 1 2 2 1 2 1 1 1 1 2 2 2 1 1 4 4 2 2 0 561 
    .54   47.001 4 551 2 1 & & 1 1 1 2 3 8 4 6 2 2 1 1 & & 1 2 3 4 2 5 1 1 4 7 5 1 660 1 
    .89   48.001 2 211 2 1 & & 1 2 1 2 2 & 4 2 2 1 1 1 & & 1 1 1 2 1 9 1 & 6 1 5 1 130 2 
   1.23   49.001 5 651 1 1 & & 1 1 2 2 5 & 1 102 1 & 1 & & 2 2 1 2 1 9 2 2 4 7 2 1 150 1 
   2.10   50.001 5 612 & & 2 1 3 2 1 3 10& 3 0 2 1 1 1 1 1 2 2 3 4 1 6 1 2 6 4 6 2 0 161 
   1.41   51.001 5 571 1 1 & & 1 1 2 3 4 6 3 102 & & & & & 1 2 & 4 2 9 5 & 3 2 2 1 170 2 
    .66   52.001 1 1 1 1 2 & & 1 1 & & & & & & & & & & & & & & & & & & & & & & & 1 870 & 
   1.47   53.001 3 372 & & 1 1 & 2 1 3 2 4 6 4 1 2 2 2 1 1 2 1 2 4 3 3 1 2 3 1 5 2 0 101 
   1.07   54.001 2 291 2 1 & & 1 2 1 3 10& 3 0 1 1 1 1 1 & 1 1 3 4 2 9 1 4 6 4 5 1 150 2 
   1.05   55.001 2 251 1 1 & & 2 2 1 3 1 9 4 5 1 1 2 1 1 & 2 2 3 4 2 3 6 4 5 1 5 1 160 1 
    .35   56.001 1 5 2 & & 1 & 3 2 1 1 0 & 6 8 1 & & & & & 1 1 2 4 3 7 4 & 6 5 1 2 0 261 
   3.65   57.001 4 452 & & 1 1 3 1 & 1 2 3 6 0 1 2 2 1 2 2 1 1 1 4 2 9 4 3 2 7 2 2 0 201 
    .00   58.001 2 172 & & 2 2 3 2 1 3 6 & 2 2 2 1 1 1 1 1 2 2 3 4 3 9 1 2 4 1 4 2 0 292 
    .79   59.001 4 551 1 1 & & 1 2 2 & 2 7 4 4 2 1 & & & & 2 2 & & 2 8 1 2 3 & & 1 120 2 
    .00   60.001 4 492 & & 1 2 3 2 1 2 5 & 4 2 1 2 & 1 & & 1 1 3 4 3 4 1 3 6 1 6 2 0 131 
    .50   61.001 3 401 2 1 & & 1 2 1 2 & & 2 0 1 & & & & & 1 & & 4 1 8 4 & 3 1 & 1 750 & 
   2.02   62.001 3 332 & & 1 1 3 2 2 3 5 & 6 8 1 2 2 2 2 1 1 1 3 4 2 4 4 1 3 2 2 2 0 131 
    .19   63.001 2 213 & & & & 4 2 1 4 & & & & 2 2 2 2 2 2 2 1 2 1 3 4 1 2 6 7 6 3 0 0 2 
   1.91   64.001 3 372 & & 1 1 3 2 2 3 6 & 4 0 1 2 2 2 2 2 & 2 2 3 3 4 1 2 3 7 5 2 0 131 
    .00   65.001 5 571 1 3 & & 1 1 2 & 4 5 6 5 2 1 1 2 & & 2 2 1 4 & 8 1 & 3 1 3 1 0 0 2 
    .90   66.001 5 651 & & & & 1 1 & & & & 7 1 2 & & 1 & & 2 2 & 4 1 7 4 & 3 2 1 1 & 0 2 
   1.10   67.001 5 612 & & 1 & 3 2 1 1 3 7 6 6 1 & & 2 & 2 2 1 & 4 2 6 1 2 4 2 6 2 0 841 
    .48   68.001 1 5 2 & & 1 1 3 1 1 2 2 & 3 4 1 1 1 1 1 1 1 1 3 4 3 6 1 2 4 1 6 2 0 281 
    .66   69.001 2 291 2 1 & & 1 2 2 2 2 & 6 1 2 2 1 1 & & 2 2 3 2 2 8 1 4 5 2 3 1 990 2 
   2.67   70.001 4 552 & & 1 1 3 2 1 2 2 & 6 & 1 & & & & & 1 1 2 4 2 9 1 4 4 2 3 2 0 18& 
    .97   71.002 1 6 1 1 2 & & 1 2 2 3 9 & 3 8 1 1 2 2 1 & 2 1 2 4 3 5 1 2 4 2 6 1 150 1 
   1.35   72.001 1 131 1 1 & & 1 1 2 3 4 7 6 1 2 1 2 2 2 2 2 1 1 4 1 9 5 2 2 6 3 1 180 2 
   1.97   74.001 3 371 3 2 & & 1 2 2 1 0 2 6 0 1 2 2 2 2 2 1 1 3 3 2 3 1 1 4 7 4 1 290 1 
    .33   75.001 4 451 2 1 & & 1 2 1 3 6 & 1 102 2 1 1 & & 2 2 3 4 2 5 1 2 6 1 6 1 490 1 
    .35   76.001 1 1 1 2 2 & & & & 1 2 5 & 5 0 2 & 1 & & & 2 2 3 3 3 6 1 2 1 2 3 1 520 2 
    .56   77.001 5 651 2 1 & & 1 2 2 2 2 & 4 2 1 2 1 1 2 2 2 1 2 4 1 7 1 & 6 1 6 1 840 1 
    .48   78.001 3 401 1 2 & & 1 2 2 3 4 9 3 0 2 1 1 2 1 2 2 2 3 4 1 1 6 4 2 7 2 1 730 2 
    .36   79.001 1 5 2 & & 1 1 3 2 1 1 5 8 6 4 1 2 1 & & & & 1 2 4 3 4 1 4 6 1 6 2 0 251 
    .00   80.001 4 552 & & 1 2 3 2 2 2 0 2 6 & & & & & & & & & & & & & & & & & & 2 0 40& 
    .55   81.001 5 611 2 1 & & 1 1 1 3 4 6 1 1 2 1 1 1 & 2 2 2 1 4 1 4 1 4 5 7 6 1 670 2 
   1.47   82.001 4 492 & & 1 & 3 1 2 1 2 3 1 2 1 & & & & & 1 1 2 4 2 9 1 & 6 2 2 2 0 891 
   1.23   83.001 2 292 & & 1 1 3 2 2 1 2 3 6 4 1 2 2 2 2 1 2 1 2 4 3 5 4 4 4 1 4 2 0 841 
    .44   84.001 5 571 2 1 & & 1 2 2 3 6 3 3 5 2 & & 1 & & 2 2 3 4 1 7 4 2 4 7 3 1 670 2 
    .00   85.001 2 171 2 3 & & & 2 2 2 3 & 3 1 2 2 1 1 2 2 2 2 1 4 1 4 1 2 4 2 4 1 0 0 2 
   1.59   86.002 1 6 2 & & 1 & 3 2 1 1 2 7 6 4 1 2 2 2 & & 2 1 2 3 3 6 1 2 4 1 5 2 0 121 
    .32   87.001 1 1 1 1 2 & & 1 1 2 2 0 3 4 2 2 1 2 2 2 2 2 2 1 4 1 4 6 2 4 3 1 1 420 2 
    .61   88.001 1 5 2 & & 1 1 3 2 2 & 3 8 & & 1 & & & & 1 1 1 2 4 3 4 1 4 3 3 6 2 0 431 
    .93   89.001 2 251 2 2 & & 1 2 2 3 6 & 3 4 1 2 1 2 2 2 2 1 2 4 2 3 6 4 3 3 5 1 130 1 
   1.48   90.001 2 292 & & 1 & 3 2 2 3 5 & 6 2 1 2 2 2 2 1 1 1 2 4 & 7 4 4 2 1 4 2 0 101 
    .37   91.001 4 551 1 1 & & 1 1 2 3 6 & 1 2 2 2 2 2 2 2 2 2 3 4 2 6 1 4 4 1 6 1 450 1 
    .50   92.001 3 371 1 1 & & 1 1 1 1 & & 7 & 2 1 1 1 1 1 2 2 3 4 3 3 1 1 4 3 1 1 630 1 
    .54   93.001 5 651 1 1 & & 1 1 1 2 8 9 4 2 2 1 1 1 2 & 2 2 1 2 1 7 1 4 6 1 6 1 680 2 
   1.61   94.001 3 401 3 2 & & 1 1 2 3 2 5 1 0 2 2 2 2 1 2 1 2 3 4 3 5 4 2 3 1 3 1 190 2 
    .34   95.001 5 571 2 2 & & 1 2 1 2 2 4 4 6 2 1 1 1 1 2 1 2 1 4 1 3 1 1 6 7 3 1 500 1 
    .66   97.001 4 451 2 1 & & 1 2 2 3 2 3 2 2 2 2 1 1 2 2 2 2 & 2 1 2 1 2 3 7 6 1 980 2 
    .23   98.001 4 491 1 1 & & 1 1 2 3 6 & 3 1 2 1 2 1 & & 2 2 3 4 1 6 1 & 3 1 3 1 280 2 
    .65   99.001 2 211 1 2 & & 1 1 2 3 6 & 3 2 2 1 2 2 1 & 1 2 3 2 2 8 1 2 6 1 4 1 800 2 
   2.36  100.001 2 292 & & 1 1 3 & 2 1 2 3 4 6 1 & & & & & & & & & & & & & & & & 2 0 14& 
   1.49  101.001 2 173 & & & & 4 2 1 4 & & & & & & & & & & 2 2 1 4 2 5 1 2 4 7 5 3 0 0 2 
    .36  102.001 1 5 1 2 2 & & 1 2 1 2 2 & 3 0 2 2 1 2 1 2 1 2 3 4 2 9 1 4 6 2 6 1 570 2 
   1.32  103.001 4 552 & & 1 3 3 2 1 1 2 3 6 4 1 2 2 2 2 2 1 1 3 4 2 4 1 2 3 2 6 2 0 971 
   2.44  104.001 2 252 & & 2 3 3 3 1 2 2 & 2 5 1 1 2 2 2 2 2 2 2 4 2 4 2 3 2 3 3 2 0 162 
    .54  105.001 5 651 1 1 & & 1 1 1 3 9 & 3 1 2 1 2 1 2 2 2 2 1 4 1 7 1 2 6 7 6 1 680 2 
    .45  106.001 1 1 1 2 2 & & 1 1 1 2 0 5 6 0 2 1 1 1 1 & 2 2 3 4 2 5 1 2 3 2 5 1 590 2 
   2.01  107.002 2 182 & & 1 3 3 3 1 3 0 2 4 1 1 & & & & & 1 1 3 4 2 1 6 4 2 1 1 2 0 131 
    .85  108.001 3 401 1 2 & & 1 1 2 1 5 & 5 1 2 1 2 2 1 2 2 2 3 1 2 7 2 4 6 4 5 1 100 2 
    .58  109.001 1 132 & & 1 1 3 3 1 1 1 8 3 1 1 2 2 2 2 2 1 1 3 4 1 4 3 4 4 3 4 2 0 381 
   1.19  110.001 2 292 & & & 1 3 2 1 2 2 3 4 4 1 2 2 2 2 1 2 1 2 4 3 8 1 4 6 2 6 2 0 0 1 
    .58  111.001 4 551 & & & & 1 1 2 4 & & & & & & & & & & & 2 1 4 2 4 1 2 6 4 6 1 & 0 1 
    .32  112.001 1 5 2 & & 1 3 2 2 1 1 2 & 6 4 1 2 2 1 1 & 2 1 2 4 3 5 1 2 4 4 6 2 0 241 
    .45  113.001 4 451 1 1 & & 1 1 2 3 4 & 2 5 2 1 1 1 & & 2 2 1 3 1 5 1 4 6 4 6 1 560 2 
    .00  115.001 1 1 1 3 3 & & 1 2 1 2 1 4 4 & & & & & & & & & & & & & & & & & & 1 0 0 & 
    .95  116.001 5 614 & & & & & 2 2 4 11& 7 112 & 1 & & & 1 2 2 4 2 5 1 3 4 2 3 3 0 0 1 
   1.23  117.001 2 251 1 1 & & 1 1 1 1 0 & 1 0 2 1 1 1 1 2 1 1 2 3 2 5 4 2 3 2 3 1 150 1 
    .43  118.001 5 573 & & & & 4 1 1 2 8 9 3 2 2 2 1 & & & 2 2 1 4 1 3 1 4 4 7 3 3 0 0 1 
   1.53  119.001 5 651 3 1 & & 1 2 2 & 3 & 5 8 2 1 1 1 1 2 2 2 3 4 2 1 2 4 3 6 2 1 220 2 
   2.14  120.001 2 173 & & & & 4 2 1 3 9 & 6 6 1 2 2 2 & & 2 1 2 4 3 6 1 4 3 7 3 3 0 0 2 
    .00  121.001 4 492 & & 1 2 3 2 1 1 1 & 6 2 1 & & & & & 1 1 3 4 3 9 1 2 4 2 2 2 0 221 
   1.56  122.001 2 211 3 2 & & 1 2 1 2 1 2 4 & 1 2 2 & & & 1 1 3 4 2 8 1 2 3 1 4 1 220 1 
    .96  123.001 2 292 & & 1 & 3 2 2 1 2 5 4 6 1 & & & & & 1 1 2 4 & 4 1 & 4 6 6 2 0 701 
   1.47  124.001 3 401 1 1 & & 1 1 1 3 0 & 1 2 2 1 & 1 & & 1 2 3 3 2 9 5 1 6 7 6 1 180 2 
   1.05  125.002 2 181 1 1 & & 1 1 1 3 3 4 4 1 2 1 1 1 1 2 1 2 1 3 1 6 1 2 4 1 6 1 130 1 
    .53  126.001 1 5 2 & & 1 1 3 1 1 1 2 5 6 8 1 1 2 2 2 1 1 1 2 4 3 8 1 3 6 2 6 2 0 30& 
    .63  127.001 4 551 2 1 & & 1 1 2 3 4 & 2 2 2 2 1 1 & & 1 2 3 4 1 3 1 1 4 4 6 1 760 2 
    .44  128.001 5 571 2 1 & & 1 2 2 1 7 & 6 1 2 2 1 1 2 2 2 2 1 1 1 8 2 4 6 7 6 1 670 2 
    .85  129.001 2 251 1 1 & & 1 1 1 3 4 & 1 5 2 1 1 1 2 & 1 2 3 4 1 5 2 4 4 7 6 1 100 2 
   1.00  130.001 5 651 1 4 & & 1 1 1 2 5 9 3 4 2 1 2 1 & & 1 1 3 1 2 9 1 2 6 1 5 1 0 0 2 
    .72  131.001 5 611 1 1 & & 1 1 2 3 9 & 3 2 2 1 2 1 1 2 1 2 1 2 1 3 6 4 6 1 3 1 900 2 
   1.45  133.001 2 292 & & 1 1 3 2 1 2 2 3 3 4 1 2 2 2 2 1 1 1 & & 3 3 1 & & & & 2 0 991 
    .00  134.001 4 451 1 3 & & 1 1 1 1 0 1 4 1 2 1 2 2 2 2 & 2 3 2 1 2 2 1 4 6 4 1 0 0 2 
    .36  135.001 1 5 2 & & 1 1 3 2 1 1 2 9 6 2 1 2 2 1 1 1 1 1 2 4 2 4 1 2 4 4 6 2 0 251 
    .18  136.001 4 491 1 1 & & 1 2 1 3 1 & 4 0 2 1 1 1 & & 2 2 3 2 1 6 1 4 6 7 & 1 280 2 
